stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
300112,万讯自控,20260608,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-08/1225357884.PDF,20260609,,8.3
300112,万讯自控,20260623,关于董事会提议向下修正万讯转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-24/1225383802.PDF,20260623,,9.13
300112,万讯自控,20260710,关于向下修正万讯转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-10/1225420223.PDF,20260711,,8.32
300121,阳谷华泰,20250604,关于“阳谷转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-05/1223766120.PDF,20250605,,9.46
300121,阳谷华泰,20250903,关于“阳谷转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-04/1224636106.PDF,20250904,,9.39
300121,阳谷华泰,20260508,关于“阳谷转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-09/1225285713.PDF,20260509,,9.28
300151,昌红科技,20250520,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-21/1223606978.PDF,20250521,,26.72
300151,昌红科技,20260507,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-08/1225281833.PDF,20260508,,26.64
300196,长海股份,20250521,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-22/1223626374.PDF,20250522,,15.64
300196,长海股份,20250918,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-19/1224669155.PDF,20250919,,15.44
300196,长海股份,20260507,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-08/1225281668.PDF,20260508,,15.34
300231,银信科技,20260520,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225321524.PDF,20260521,,9.0
300239,东宝生物,20250609,关于“东宝转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-10/1223825522.PDF,20250610,,6.63
